time,l2_error,l1_error,max_error
0.0,0.0,0.0,0.0
0.25,1.9201371722024068e-07,5.596983030656785e-08,1.1927303789072141e-06
0.5,7.41494120521655e-07,2.1696557384919595e-07,4.5872425933346506e-06
0.75,1.5731502161792394e-06,4.636169753086903e-07,9.662044543001791e-06
1.0,2.575389891248645e-06,7.666529876341453e-07,1.5641062235172143e-05
1.25,3.618717877058458e-06,1.0926168850288932e-06,2.1615475701008968e-05
1.5,4.57716496776456e-06,1.4081434060456132e-06,2.668251176618508e-05
1.75,5.349575997959837e-06,1.6858618400582302e-06,3.0077355771318537e-05
2.0,5.8779665024702245e-06,1.9081442976606832e-06,3.127679485037671e-05
2.25,6.160802069043572e-06,2.0716143291261423e-06,3.0059546163530015e-05
2.5,6.258953433198271e-06,2.1878747813363535e-06,2.6516917064345336e-05
2.75,6.2894396969478556e-06,2.2835661117166297e-06,2.5790291128036102e-05
3.0,6.397224784109598e-06,2.385625934102267e-06,2.7428396774220598e-05
3.25,6.700597414523412e-06,2.5096157070352747e-06,2.9285521714383922e-05
3.5,7.237790561161171e-06,2.6637054800682374e-06,3.130095608655514e-05
3.75,7.962650239192454e-06,2.9788437066865783e-06,3.342469808875759e-05
4.0,8.78844029832271e-06,3.354493627541858e-06,3.560288298531944e-05
4.25,9.633271294128102e-06,3.738470864053248e-06,3.7807031392667056e-05
4.5,1.0441778207976011e-05,4.107942570285913e-06,4.002276381237513e-05
4.75,1.118769739025553e-05,4.452785503462058e-06,4.224319522860842e-05
5.0,1.1867657075225954e-05,4.770728374016925e-06,4.44653628577929e-05
5.25,1.2492479796346926e-05,5.063629132199373e-06,4.668811020319685e-05
5.5,1.3079065118496856e-05,5.336944360607545e-06,4.8911025157527543e-05
5.75,1.3644315807858199e-05,5.596775293606266e-06,5.113397304046252e-05
6.0,1.4201612302488663e-05,5.848479773537904e-06,5.336473428341204e-05
6.25,1.475961053695182e-05,6.0960723885719515e-06,5.559228130769256e-05
6.5,1.5322662431284214e-05,6.341507091083605e-06,5.781747613126109e-05
6.75,1.5892023040704937e-05,6.586013026609964e-06,6.004189300523599e-05
7.0,1.646716691548156e-05,6.8301511913831316e-06,6.226608311921122e-05
7.25,1.704682925592395e-05,7.074154967500227e-06,6.449022384324987e-05
7.5,1.7629657019179622e-05,7.318113338185436e-06,6.671436779626116e-05
7.75,1.8214521556052e-05,7.562057522269255e-06,6.893852940248468e-05
8.0,1.8800606259436594e-05,7.805997628661507e-06,7.116271231988325e-05
8.25,1.938737734846414e-05,8.049936685594892e-06,7.338691740860215e-05
8.5,1.9974513108655224e-05,8.293875533823721e-06,7.561114485360454e-05
8.75,2.0561832613513734e-05,8.537814389974162e-06,7.783539468886325e-05
9.0,2.1149240192018564e-05,8.781753305867113e-06,8.00596669185416e-05
9.25,2.173668802563896e-05,9.025692292973457e-06,8.228396154041917e-05
9.5,2.2324153435929816e-05,9.269631353594476e-06,8.450827855260856e-05
9.75,2.2911626187856797e-05,9.513570488090101e-06,8.673261795089093e-05
10.0,2.3499101875799622e-05,9.757509696445572e-06,8.895697973165806e-05
