time,l2_error,l1_error,max_error
0.0,0.0,0.0,0.0
0.15625,2.0797359758347174e-06,1.232788442210614e-07,6.349773032854333e-05
0.3125,3.5519027832394006e-06,2.1453953577435193e-07,0.00010655268659642836
0.46875,4.597115585101572e-06,2.8251113389095244e-07,0.00013565950133176408
0.625,5.337149742878712e-06,3.326097290664535e-07,0.0001550886028834908
0.78125,5.855937713830124e-06,3.688194999798524e-07,0.00016771211407617947
0.9375,6.2124427492941584e-06,3.9816561318359857e-07,0.00017549956148676937
1.09375,6.448780425073619e-06,4.191285694593598e-07,0.0001798242927683047
1.25,6.595472294952679e-06,4.34032743105962e-07,0.00018165784079360314
1.40625,6.674920687135282e-06,4.4419095392068365e-07,0.00018169605727014204
1.5625,6.703752904577669e-06,4.5014687910324024e-07,0.00018044264591987602
1.71875,6.69443100807379e-06,4.5475114382685263e-07,0.0001782654958317753
1.875,6.656375084146135e-06,4.5711960086473444e-07,0.00017543529560015703
2.03125,6.596758453938841e-06,4.581864612744204e-07,0.0001721523931383917
2.1875,6.521078079003997e-06,4.568901419804839e-07,0.00016856572887191668
2.34375,6.433568641121328e-06,4.5495635763473617e-07,0.0001647863430377372
2.5,6.337506443632448e-06,4.513066679150912e-07,0.00016089711785449712
2.65625,6.235434694962693e-06,4.480156358856603e-07,0.00015695987416231016
2.8125,6.129332053589271e-06,4.4429204660848054e-07,0.00015302058779054217
2.96875,6.020739793180048e-06,4.4045954023392354e-07,0.0001491132554016783
3.125,5.91085849498701e-06,4.356952752171267e-07,0.00014526278085114086
3.28125,5.800622097055754e-06,4.308378367538505e-07,0.00014148714479111923
3.4375,5.690754977059859e-06,4.2546856071898203e-07,0.00013779904542532417
3.59375,5.5818162233364565e-06,4.199253261441589e-07,0.00013420714608536333
3.75,5.474234161179901e-06,4.147137278494672e-07,0.00013071702842459842
3.90625,5.368333417225309e-06,4.096388359407197e-07,0.00012733192377967217
4.0625,5.264356233873421e-06,4.0469443327420685e-07,0.00012405327636122454
4.21875,5.162479327036042e-06,3.9931690585269404e-07,0.00012088117826059008
4.375,5.062827270612208e-06,3.941450252460894e-07,0.00011781470625615853
4.53125,4.965483160231861e-06,3.8876120502804407e-07,0.00011485218304640998
4.6875,4.870497135716225e-06,3.8332036944418877e-07,0.00011199138008222143
4.84375,4.7778932107071854e-06,3.780173808337175e-07,0.00010922967509952031
5.0,4.687674758554324e-06,3.7305043929297046e-07,0.00010656417439847132
5.15625,4.5998289274159194e-06,3.684058690426757e-07,0.00010399180760733984
5.3125,4.514330199131272e-06,3.636345813262449e-07,0.00010150940092024108
5.46875,4.431143261130458e-06,3.587894711389163e-07,9.911373345827812e-05
5.625,4.350225325573229e-06,3.5415186199205833e-07,9.680158037828068e-05
5.78125,4.271528002465245e-06,3.4936591531272204e-07,9.456974556598663e-05
5.9375,4.194998812018464e-06,3.446924539458838e-07,9.241508613944127e-05
6.09375,4.120582404515569e-06,3.400967421779169e-07,9.033453050805162e-05
6.25,4.048221542670617e-06,3.356285490452134e-07,8.832509137379763e-05
6.40625,3.977857890693673e-06,3.315910239542139e-07,8.638387475845555e-05
