dx,error,log_dx,log_error,observed_order,expected_order,log_intercept,error_metric
1.0,3.581147360298834e-05,0.0,-10.23724222420053,1.939086516540837,2,-10.205008971018076,avg_l2
0.5,1.004540636371906e-05,-0.6931471805599453,-11.508395106188198,1.939086516540837,2,-10.205008971018076,avg_l2
0.25,2.5540598971488583e-06,-1.3862943611198906,-12.87782634833885,1.939086516540837,2,-10.205008971018076,avg_l2
0.125,6.405066608838687e-07,-2.0794415416798357,-14.261006316157266,1.939086516540837,2,-10.205008971018076,avg_l2
