dx,error,log_dx,log_error,observed_order,expected_order,log_intercept,error_metric
0.1,4.70843536592951e-05,-2.3025850929940455,-9.963569806200743,2.00007053028488,2,-5.358309263476187,avg_l2
0.05,1.1768947770307065e-05,-2.995732273553991,-11.350046039982661,2.00007053028488,2,-5.358309263476187,avg_l2
0.025,2.942125800946401e-06,-3.6888794541139363,-12.736378176350348,2.00007053028488,2,-5.358309263476187,avg_l2
0.0125,7.355279421817261e-07,-4.382026634673881,-14.122677306896806,2.00007053028488,2,-5.358309263476187,avg_l2
0.00625,1.8388221545929463e-07,-5.075173815233827,-15.50897041768367,2.00007053028488,2,-5.358309263476187,avg_l2
