epoch,data_loss,physics_loss,epoch_time
0,5.614533193920579e-08,2.4985512236808448e-20,0.6607875823974609
1,2.9317112421267666e-05,6.675359998098429e-08,0.0202484130859375
2,8.528259968443308e-06,8.366152570715712e-08,0.013723134994506836
3,8.261893526650965e-06,3.799642200874587e-08,0.017546653747558594
4,2.1894591029081312e-08,2.0454699901795997e-20,0.01256871223449707
5,4.356826684670523e-05,2.677802228845394e-07,0.008498430252075195
6,7.985258889675606e-06,1.016725370561744e-08,0.005430936813354492
7,3.6770838050870225e-05,2.986059316478773e-12,0.008491992950439453
8,7.740275577816647e-06,3.4035092522088917e-09,0.006662130355834961
9,2.8274884243728593e-05,4.184215196545438e-09,0.008594274520874023
10,7.642862328793854e-06,4.583104118438541e-09,0.007399320602416992
11,8.16057035990525e-06,3.039395818360546e-11,0.006809234619140625
12,3.0242383218137547e-05,7.167026694343548e-11,0.00988006591796875
13,6.669258922897825e-09,2.346160081934673e-18,0.006422519683837891
14,2.2546096545283945e-08,8.943218702572219e-18,0.010554075241088867
15,7.690669008297846e-06,2.6695023080947067e-08,0.006742954254150391
16,3.4579683415358886e-05,8.760984826494678e-08,0.007084369659423828
17,7.57564339437522e-06,4.975896139569613e-09,0.0045855045318603516
18,1.849316966229253e-08,6.610214307894742e-19,0.007066249847412109
19,7.611982255184557e-06,7.956415970511443e-09,0.008608102798461914
20,7.466308488801587e-06,2.126941112123859e-08,0.008274078369140625
21,2.951744681922719e-05,2.3014065675397433e-07,0.007012844085693359
22,7.250256203406025e-06,1.3515803060082376e-11,0.006355762481689453
23,3.206575274816714e-05,7.52398747749794e-08,0.00855255126953125
24,3.9268612454179674e-05,2.693503233786032e-07,0.0057277679443359375
25,7.2008192546491046e-06,1.5316002688336994e-08,0.00439906120300293
26,3.305121936136857e-05,6.546796438300362e-10,0.006556272506713867
27,1.0810667561145237e-07,2.9002484628193905e-18,0.0042438507080078125
28,7.347518931055674e-06,4.774891593228858e-09,0.004444599151611328
29,7.092972737154923e-06,1.2425113382619202e-08,0.006615161895751953
30,1.9971579945377016e-08,9.818595820696261e-18,0.0040094852447509766
31,2.4763437522778986e-08,1.23961567838605e-17,0.006726741790771484
32,6.934876182640437e-06,1.3636337392597397e-08,0.010445117950439453
33,7.182827175711282e-06,4.914909368380904e-09,0.005695819854736328
34,3.0082243029028177e-05,2.6965141231016787e-10,0.008803606033325195
35,6.869159733469132e-06,5.891105381294892e-10,0.013616085052490234
36,2.6572497517918237e-05,6.409284480923816e-08,0.009105205535888672
37,2.325983405171428e-05,6.28476826136648e-08,0.004802703857421875
38,6.793607099098153e-06,2.4590957048431505e-10,0.007029533386230469
39,4.039984347059544e-08,5.663978623752723e-18,0.007626056671142578
40,2.955799936898984e-05,3.5119096519764526e-09,0.0043528079986572266
41,1.1827285817389566e-08,6.583796020286177e-18,0.004203081130981445
42,6.75884530210169e-06,1.1266470423265673e-08,0.008046865463256836
43,6.03023551093429e-08,2.014615256357395e-17,0.004527568817138672
44,1.7899106197205583e-08,5.700330730132591e-18,0.004460334777832031
45,3.174678568029776e-05,1.59172508507055e-09,0.004415035247802734
46,2.8027598091284744e-05,9.707495918220843e-11,0.004432201385498047
47,6.494905392173678e-06,8.951834828963001e-10,0.004323005676269531
48,1.6949671532984212e-07,1.734020041583892e-17,0.0059032440185546875
49,2.8720243790303357e-05,7.001463586675527e-08,0.007116079330444336
50,3.025095907105424e-08,2.3719561229274454e-18,0.00446319580078125
51,9.420364932566372e-09,1.0877154153421703e-18,0.004515647888183594
52,6.324657988443505e-06,1.8611133745238817e-09,0.006506681442260742
53,3.460318964698672e-08,3.660715924994251e-18,0.0046350955963134766
54,6.270823178056162e-06,6.353927939350967e-10,0.004660367965698242
55,6.259174369915854e-06,1.3185723624076218e-09,0.004298210144042969
56,6.2179624364944175e-06,1.1170819824712908e-09,0.004479646682739258
57,3.051600288017653e-05,4.866819447446602e-11,0.008109331130981445
58,3.064893826376647e-05,9.956312163605929e-11,0.0048558712005615234
59,4.9582336458797727e-08,6.875438811166754e-18,0.004663944244384766
60,2.32833390327869e-05,6.727768919745358e-08,0.004702329635620117
61,2.00766585578549e-08,1.6925114153424604e-18,0.004586219787597656
62,2.182484786317218e-05,5.519135148901455e-10,0.004928112030029297
63,5.83076916882419e-06,4.928181196461878e-10,0.004542827606201172
64,6.981556666119104e-09,2.319694645031192e-19,0.005281686782836914
65,1.9626993889687583e-05,1.1196061439067151e-10,0.0049114227294921875
66,1.231704072068851e-08,2.512189086149326e-18,0.004395484924316406
67,5.737231276725652e-06,2.4205373816421627e-10,0.007470607757568359
68,5.68015502722119e-06,7.999479550990785e-11,0.006917476654052734
69,5.656671419274062e-06,1.0954776148708323e-11,0.005259037017822266
70,2.9478382202796638e-05,6.559902621106062e-11,0.0072252750396728516
71,4.559441890705784e-08,8.752857146663553e-18,0.004128456115722656
72,5.6921921895991545e-06,3.3313334313334053e-09,0.004865884780883789
73,5.607034836430103e-06,4.442385126424142e-09,0.00429534912109375
74,5.667778168572113e-06,2.92842106119906e-09,0.004373073577880859
75,2.1448962797876447e-05,5.053738538762786e-10,0.004207134246826172
76,5.508594114189691e-08,1.6946760229284198e-17,0.004292964935302734
77,5.519790192920482e-06,4.318238128186991e-11,0.0047228336334228516
78,2.2266207452048548e-05,8.356912384321902e-12,0.007333278656005859
79,2.7488405976328067e-05,5.0075117663528346e-12,0.004485607147216797
80,1.218592160512344e-07,5.700732243601924e-17,0.0043566226959228516
81,5.271356712910347e-06,1.8173725857550949e-09,0.0043103694915771484
82,2.0188837879686616e-05,5.071404629575227e-08,0.0041348934173583984
83,2.354640571411437e-08,8.969775336138234e-18,0.004144906997680664
84,5.122697530168807e-06,2.6903357319696397e-09,0.003956794738769531
85,2.342125299037434e-05,2.868012494161576e-09,0.004233360290527344
86,5.102278919366654e-06,3.855554986387233e-09,0.005098581314086914
87,1.7646689798311854e-07,1.394052912640436e-16,0.004384040832519531
88,2.506101009203121e-05,4.625497901367126e-12,0.003953218460083008
89,5.140433586348081e-06,2.7412652148228744e-09,0.003854036331176758
90,5.018560841563158e-06,5.396927349465841e-09,0.007694721221923828
91,2.0478359147091396e-05,6.119937268067588e-08,0.006807804107666016
92,1.9952683061319476e-08,7.559390205524081e-18,0.006150007247924805
93,7.490013587130306e-08,8.939671752105591e-17,0.0055844783782958984
94,4.923861524730455e-06,9.049042404285501e-09,0.005027294158935547
95,1.9123111997032538e-05,2.2509451014229853e-07,0.00467681884765625
96,4.767157406604383e-06,1.1611105410480604e-09,0.0051615238189697266
97,4.797879228135571e-06,2.5217865129434358e-08,0.00738525390625
98,2.028052585956175e-05,2.9333426709854393e-07,0.005552053451538086
99,2.4889977794373408e-05,7.969690329900914e-08,0.0055637359619140625
100,1.3978644346934743e-05,5.656427548572651e-10,0.00880289077758789
101,4.781347229254607e-07,7.492490286035406e-16,0.008958816528320312
102,5.076608289300566e-08,1.7496140504917417e-16,0.008750438690185547
103,5.849821900483221e-05,2.069716629193863e-06,0.007861137390136719
104,1.3891000889998395e-05,6.927499907050105e-09,0.007273674011230469
105,9.581806637015688e-08,1.4470378675158466e-16,0.0068206787109375
106,1.0327549659905344e-07,5.456333195119211e-16,0.007880210876464844
107,2.4949007638497278e-05,1.686994210103876e-06,0.008329629898071289
108,2.2789932700106874e-05,1.3702909882340464e-06,0.007553577423095703
109,4.228903094372072e-07,3.801187935141353e-16,0.007046699523925781
110,2.9938274792584707e-07,2.1579839868352089e-16,0.0064849853515625
111,2.9171792448323686e-07,3.177413814541973e-16,0.0069696903228759766
112,1.665418949414743e-07,4.873850342511702e-16,0.00949406623840332
113,2.0079774287751206e-08,2.4978151934604103e-16,0.012884140014648438
114,6.65712432237342e-05,5.229082489677239e-06,0.008200407028198242
115,5.2094997954554856e-05,2.2519761841977015e-06,0.007357597351074219
116,6.0270838730502874e-05,2.8428346482423095e-11,0.020705461502075195
117,1.469663948228117e-05,2.569516937001026e-07,0.012894153594970703
118,3.230946532539747e-08,4.687754557021972e-16,0.01601862907409668
119,5.109433942607211e-08,6.637773691158325e-16,0.007345676422119141
120,9.321430115960538e-05,1.6324065654771402e-05,0.008521556854248047
121,2.209383819717914e-05,1.3460600030157366e-06,0.01150655746459961
122,6.019592547090724e-05,3.572814193830709e-06,0.007199764251708984
123,6.133377610240132e-05,1.37920309839501e-07,0.006857872009277344
124,1.4602434021071531e-05,1.856925990750824e-07,0.006775379180908203
125,4.284012788957625e-08,8.553255056870383e-16,0.0069048404693603516
126,8.400952822285035e-08,2.0606914002334158e-15,0.008272409439086914
127,0.0001115204649977386,2.0925617718603462e-05,0.012530088424682617
128,3.244988278083838e-08,1.9275731845505876e-15,0.01155996322631836
129,8.643759065307677e-05,1.4044648196431808e-05,0.006460666656494141
130,1.823658385546878e-05,7.849039889151754e-07,0.006569623947143555
131,5.446661452879198e-05,6.598517074962729e-07,0.008020877838134766
132,4.4855711166746914e-05,1.3989937031055888e-07,0.0065424442291259766
133,1.5059184988786e-05,3.429364880958019e-07,0.014950275421142578
134,1.8700749933486804e-05,8.695310498296749e-07,0.006916522979736328
135,2.1734180336352438e-05,1.353275138171739e-06,0.011390209197998047
136,7.732112862868235e-05,1.222270293510519e-05,0.008579254150390625
137,2.0643699826905504e-05,1.1850429473270196e-06,0.012294530868530273
138,1.0660620830549306e-07,3.9651571024664324e-16,0.008590936660766602
139,1.513105962658301e-05,3.8194431795091077e-07,0.013025999069213867
140,4.790656385011971e-05,1.1724312116712099e-06,0.013283491134643555
141,1.4232833223104535e-07,1.5963720260480459e-16,0.007967233657836914
142,6.40480502624996e-05,5.188668978917121e-07,0.007066249847412109
143,5.2092771511524916e-05,1.9640174286905676e-06,0.006542205810546875
144,1.4075842045713216e-05,2.2213133377135819e-07,0.011187553405761719
145,5.1569608331192285e-05,2.1127439140400384e-06,0.006782054901123047
146,5.351903382688761e-05,6.392419891199097e-07,0.008955001831054688
147,5.5070329835871235e-05,4.826138138014358e-07,0.0074367523193359375
148,1.247926957148593e-05,1.6228977051113702e-09,0.008948802947998047
149,1.278297531825956e-05,5.1452353488912195e-08,0.010883092880249023
150,1.3363964171730913e-05,1.4546000670634385e-07,0.0077936649322509766
151,5.7500554248690605e-05,2.1198297872615512e-06,0.011356353759765625
152,6.219423198672303e-08,1.1208126570015094e-16,0.015158414840698242
153,1.3858604688721243e-05,2.372539995576517e-07,0.009741067886352539
154,1.8982738936301757e-07,1.8303489958592853e-16,0.01677107810974121
155,1.3288979971548542e-05,1.5029199573746155e-07,0.01043391227722168
156,1.8612526631045512e-08,4.671690113956151e-17,0.010092973709106445
157,1.2554472050396726e-05,7.476980101728259e-08,0.010992765426635742
158,2.5382284718489245e-08,1.5603501632559336e-17,0.027578353881835938
159,1.219711521116551e-05,1.4616057697480755e-08,0.010380029678344727
160,5.4423850087914616e-05,7.856112427262474e-10,0.011720895767211914
161,4.3120660848217085e-05,1.0834198815867779e-10,0.010186433792114258
162,1.2238115232321434e-05,4.509687734355339e-09,0.007348537445068359
163,1.8623951802965166e-07,3.3562042055594306e-16,0.008273124694824219
164,1.2286017408769112e-05,1.5532659602968124e-08,0.00896453857421875
165,4.7390374675160274e-05,4.400968691697926e-07,0.012192010879516602
166,5.564891762332991e-05,4.624414629006424e-09,0.009766817092895508
167,4.9798058171290904e-05,1.3180576630134055e-09,0.013486623764038086
168,3.431928234931547e-07,5.412008490384985e-16,0.010454177856445312
169,4.591901961248368e-05,1.0915572890013436e-09,0.017451763153076172
170,1.1861333405249752e-05,1.0829635854747721e-08,0.014293909072875977
171,6.177103205118328e-05,1.361124191134877e-07,0.01569986343383789
172,3.3937652688109665e-08,1.3662823418946626e-17,0.011494636535644531
173,5.184963083593175e-05,1.4062752029531111e-07,0.01609945297241211
174,3.2012522410695965e-08,1.3242489109135967e-17,0.009231805801391602
175,1.1788996744144242e-05,1.2350869660338049e-08,0.008424758911132812
176,4.58015565527603e-05,1.1257445464707416e-07,0.03209710121154785
177,1.8999796225216414e-07,2.9024248329136604e-16,0.02973008155822754
178,3.092582119279541e-07,4.179981069153476e-16,0.017477750778198242
179,1.151538162957877e-05,1.7505199512157787e-09,0.01649165153503418
180,4.8731741117080674e-05,2.4528621356267877e-09,0.01126408576965332
181,4.6931469114497304e-05,4.216456073180552e-09,0.03011631965637207
182,4.1169556652675965e-08,6.11092647715554e-17,0.01708841323852539
183,1.172962765849661e-05,8.90995810465256e-09,0.017925739288330078
184,1.1698338312271517e-05,7.50584128184073e-09,0.01702737808227539
185,1.1572023140615784e-05,5.557900806252292e-09,0.016350746154785156
186,4.775570778292604e-05,1.3192607006828894e-09,0.011429786682128906
187,2.6786716844640068e-08,2.5035211845874745e-17,0.012893915176391602
188,1.1117930625914596e-05,8.816555818746963e-11,0.01867055892944336
189,5.2888521167915314e-05,2.4786769858842206e-10,0.01673126220703125
190,2.2680967504129512e-07,2.8472059609887645e-16,0.008902788162231445
191,4.640460610971786e-05,1.0745890222096932e-07,0.015942811965942383
192,7.188263850821386e-08,5.3836894658058646e-17,0.01631784439086914
193,1.1354752132319845e-05,5.418220982988942e-09,0.016579389572143555
194,1.1300615369691513e-05,4.681957044283536e-09,0.017647981643676758
195,2.670061149956382e-08,1.0212275062448011e-17,0.011681079864501953
196,5.323466029949486e-05,6.373037653162328e-10,0.01593613624572754
197,5.1586557674454525e-05,5.270457403838691e-10,0.009630203247070312
198,1.112457084673224e-05,1.6804699853878446e-09,0.01564478874206543
199,5.111000791657716e-05,5.070444064614321e-10,0.015915393829345703
200,2.2457876184489578e-05,2.188281333914688e-09,0.014793157577514648
201,0.00011877714132424444,9.233380171558281e-10,0.016776084899902344
202,2.2492013158625923e-05,3.4650158298177303e-09,0.018518447875976562
203,9.446756303077564e-05,1.9350194779832464e-09,0.02481985092163086
204,4.3111100467285723e-07,7.199658290675385e-16,0.025789976119995117
205,8.601861622992146e-08,4.7552171578505304e-17,0.029335498809814453
206,6.451708145505108e-08,6.26097571678368e-17,0.020586252212524414
207,2.2252888811635785e-05,1.2651386605000425e-08,0.01151418685913086
208,7.401108348403795e-08,4.090719148985042e-17,0.01820206642150879
209,8.329504635185003e-05,1.6553826753806788e-07,0.011689901351928711
210,3.831135472864844e-06,1.798840058435695e-15,0.020699262619018555
211,2.1916875994065776e-05,5.123870772116845e-10,0.018007278442382812
212,1.5570546452181588e-07,2.8996208891604526e-16,0.017377376556396484
213,2.1884039597352967e-05,1.104386804229307e-08,0.013401031494140625
214,0.00012052278907503933,7.603704332836969e-09,0.02956247329711914
215,1.1175980318967049e-07,2.232983989754249e-16,0.02215862274169922
216,0.0001056909968610853,2.871469062526444e-09,0.024373292922973633
217,2.1486481273313984e-05,2.9107913301906763e-10,0.019284486770629883
218,0.00010966100671794266,3.0125335559461064e-10,0.021837949752807617
219,9.500268788542598e-05,1.672943170660801e-07,0.023980379104614258
220,2.1057174308225513e-05,9.393286148906554e-09,0.02226400375366211
221,2.098209188261535e-05,6.869356639072066e-09,0.01053309440612793
222,3.876551204484713e-07,6.987509359914889e-16,0.023242473602294922
223,1.8758373698801734e-07,3.387670950154336e-16,0.02218317985534668
224,8.984727173810825e-05,1.0605468586666333e-10,0.016278743743896484
225,3.6070503028895473e-07,6.696105673862176e-16,0.02468419075012207
226,2.1144127458683215e-05,4.4873399440703565e-10,0.015318870544433594
227,9.293332550441846e-05,1.2485279476948108e-10,0.02185344696044922
228,7.720676512690261e-05,5.191038709995155e-10,0.01087498664855957
229,9.293422772316262e-05,2.365635465295668e-09,0.01600790023803711
