dx,error,log_dx,log_error,observed_order,expected_order,log_intercept,error_metric
0.1,1.9112762382474533e-05,-2.3025850929940455,-10.865154258485495,2.000520001946497,2,-6.2590421457363465,avg_l1
0.05,4.774390535856955e-06,-2.995732273553991,-12.252244228647555,2.000520001946497,2,-6.2590421457363465,avg_l1
0.025,1.1931308905717393e-06,-3.6888794541139363,-13.638929705383362,2.000520001946497,2,-6.2590421457363465,avg_l1
0.0125,2.982196134646121e-07,-4.382026634673881,-15.025435663926224,2.000520001946497,2,-6.2590421457363465,avg_l1
0.00625,7.454726107396213e-08,-5.075173815233827,-16.411832535861116,2.000520001946497,2,-6.2590421457363465,avg_l1
