Timestamp,Module,Run Type,Equation,Operator,Initial Condition,Path,Metadata
2026-06-17 07:55:40,main,single,shallow_water,central_flux_divergence,shallow_dam,pipeline_results/runs/shallow_water_lax_w_central_flux_divergence_shallow_dam_N1000_20260617_132522,"{'N': 1000, 'dt': 0.05, 'dx': 0.5}"
2026-06-17 08:01:26,main,single,shallow_water,central_flux_divergence,shallow_dam,pipeline_results/runs/shallow_water_lax_f_central_flux_divergence_shallow_dam_N1000_20260617_132702,"{'N': 1000, 'dt': 0.05, 'dx': 0.5}"
2026-06-17 08:35:12,main,single,advection,upwind,advec_gauss,pipeline_results/runs/advection_lax_w_upwind_advec_gauss_N5000_20260617_140219,"{'N': 5000, 'dt': 0.005, 'dx': 0.05}"
2026-06-17 14:34:21,main,single,shallow_water,gradient,shallow_linear_gauss,pipeline_results\runs\shallow_water_lax_w_gradient_shallow_linear_gauss_N1000_20260617_143420,"{'N': 1000, 'dt': 0.01, 'dx': 0.5}"
2026-06-17 14:35:16,main,single,shallow_water,gradient,shallow_linear_gauss,pipeline_results\runs\shallow_water_lax_w_gradient_shallow_linear_gauss_N1000_20260617_143505,"{'N': 1000, 'dt': 0.01, 'dx': 0.5}"
2026-06-17 14:35:51,main,sweep,shallow_water,gradient,shallow_linear_gauss,pipeline_results\sweeps\shallow_water_lax_w_gradient_shallow_linear_gauss_sweep_20260617_143548\shallow_water_lax_w_gradient_shallow_linear_gauss_N500_20260617_143548,"{'N': 500, 'dt': 0.02, 'dx': 1.0}"
2026-06-17 14:35:52,main,sweep,shallow_water,gradient,shallow_linear_gauss,pipeline_results\sweeps\shallow_water_lax_w_gradient_shallow_linear_gauss_sweep_20260617_143548\shallow_water_lax_w_gradient_shallow_linear_gauss_N1000_20260617_143548,"{'N': 1000, 'dt': 0.01, 'dx': 0.5}"
2026-06-17 14:35:55,main,sweep,shallow_water,gradient,shallow_linear_gauss,pipeline_results\sweeps\shallow_water_lax_w_gradient_shallow_linear_gauss_sweep_20260617_143548\shallow_water_lax_w_gradient_shallow_linear_gauss_N2000_20260617_143548,"{'N': 2000, 'dt': 0.005, 'dx': 0.25}"
2026-06-17 14:36:11,main,sweep,shallow_water,gradient,shallow_linear_gauss,pipeline_results\sweeps\shallow_water_lax_w_gradient_shallow_linear_gauss_sweep_20260617_143548\shallow_water_lax_w_gradient_shallow_linear_gauss_N4000_20260617_143548,"{'N': 4000, 'dt': 0.0025, 'dx': 0.125}"
2026-06-17 14:44:21,main,sweep,shallow_water,gradient,shallow_linear_gauss,pipeline_results\sweeps\shallow_water_lax_w_gradient_shallow_linear_gauss_sweep_20260617_144418\shallow_water_lax_w_gradient_shallow_linear_gauss_N500_20260617_144418,"{'N': 500, 'dt': 0.02, 'dx': 1.0}"
2026-06-17 14:44:21,main,sweep,shallow_water,gradient,shallow_linear_gauss,pipeline_results\sweeps\shallow_water_lax_w_gradient_shallow_linear_gauss_sweep_20260617_144418\shallow_water_lax_w_gradient_shallow_linear_gauss_N1000_20260617_144418,"{'N': 1000, 'dt': 0.01, 'dx': 0.5}"
2026-06-17 14:44:21,main,sweep,shallow_water,gradient,shallow_linear_gauss,pipeline_results\sweeps\shallow_water_lax_w_gradient_shallow_linear_gauss_sweep_20260617_144418\shallow_water_lax_w_gradient_shallow_linear_gauss_N2000_20260617_144418,"{'N': 2000, 'dt': 0.005, 'dx': 0.25}"
2026-06-17 14:44:25,main,sweep,shallow_water,gradient,shallow_linear_gauss,pipeline_results\sweeps\shallow_water_lax_w_gradient_shallow_linear_gauss_sweep_20260617_144418\shallow_water_lax_w_gradient_shallow_linear_gauss_N4000_20260617_144418,"{'N': 4000, 'dt': 0.0025, 'dx': 0.125}"
2026-06-17 14:51:22,main,single,shallow_water,gradient,shallow_dam,pipeline_results\runs\shallow_water_lax_f_gradient_shallow_dam_N1000_20260617_145122,"{'N': 1000, 'dt': 0.01, 'dx': 0.5}"
2026-06-17 14:51:37,main,sweep,shallow_water,gradient,shallow_dam,pipeline_results\sweeps\shallow_water_lax_f_gradient_shallow_dam_sweep_20260617_145135\shallow_water_lax_f_gradient_shallow_dam_N500_20260617_145135,"{'N': 500, 'dt': 0.02, 'dx': 1.0}"
2026-06-17 14:51:38,main,sweep,shallow_water,gradient,shallow_dam,pipeline_results\sweeps\shallow_water_lax_f_gradient_shallow_dam_sweep_20260617_145135\shallow_water_lax_f_gradient_shallow_dam_N1000_20260617_145135,"{'N': 1000, 'dt': 0.01, 'dx': 0.5}"
2026-06-17 14:51:38,main,sweep,shallow_water,gradient,shallow_dam,pipeline_results\sweeps\shallow_water_lax_f_gradient_shallow_dam_sweep_20260617_145135\shallow_water_lax_f_gradient_shallow_dam_N2000_20260617_145135,"{'N': 2000, 'dt': 0.005, 'dx': 0.25}"
2026-06-17 14:51:38,main,sweep,shallow_water,gradient,shallow_dam,pipeline_results\sweeps\shallow_water_lax_f_gradient_shallow_dam_sweep_20260617_145135\shallow_water_lax_f_gradient_shallow_dam_N4000_20260617_145135,"{'N': 4000, 'dt': 0.0025, 'dx': 0.125}"
2026-06-17 09:24:43,main,single,shallow_water,gradient,shallow_dam,pipeline_results/runs/shallow_water_lax_w_gradient_shallow_dam_N1000_20260617_145442,"{'N': 1000, 'dt': 0.01, 'dx': 0.5}"
