time_phys,true_pos_phys,ml_pos_phys,positional_error_phys,true_c_eff_discrete,ml_c_eff_discrete
0.0,100.0,100.0,0.0,6.500000000000057,1.0000000000000853
0.1,100.65,100.10000000000001,0.5499999999999972,4.750000000000014,1.0000000000000142
0.2,100.95,100.2,0.75,2.5,1.0000000000000142
0.30000000000000004,101.15,100.30000000000001,0.8499999999999943,2.0000000000000284,1.0000000000000142
0.4,101.35000000000001,100.4,0.9500000000000028,2.0000000000000284,0.9999999999999432
0.5,101.55000000000001,100.5,1.0500000000000114,1.9999999999999574,1.0000000000000142
0.6000000000000001,101.75,100.60000000000001,1.1499999999999915,1.9999999999999574,1.0000000000000142
0.7000000000000001,101.95,100.7,1.25,1.7500000000000426,1.0000000000000142
0.8,102.10000000000001,100.80000000000001,1.2999999999999972,1.4999999999999858,1.0000000000000142
0.9,102.25,100.9,1.3499999999999943,1.7499999999999716,0.9999999999999432
1.0,102.45,101.0,1.4500000000000028,1.7500000000000426,1.0000000000000142
1.1,102.60000000000001,101.10000000000001,1.5,1.4999999999999858,1.0000000000000142
1.2000000000000002,102.75,101.2,1.5499999999999972,1.4999999999999858,1.0000000000000142
1.3,102.9,101.30000000000001,1.5999999999999943,1.5000000000000568,1.0000000000000142
1.4000000000000001,103.05000000000001,101.4,1.6500000000000057,1.4999999999999858,0.9999999999999432
1.5,103.2,101.5,1.7000000000000028,1.4999999999999858,1.0000000000000142
1.6,103.35000000000001,101.60000000000001,1.75,1.4999999999999858,1.0000000000000142
1.7000000000000002,103.5,101.7,1.7999999999999972,1.4999999999999858,1.0000000000000142
1.8,103.65,101.80000000000001,1.8499999999999943,1.5000000000000568,1.0000000000000142
1.9000000000000001,103.80000000000001,101.9,1.9000000000000057,1.4999999999999858,0.9999999999999432
2.0,103.95,102.0,1.9500000000000028,1.4999999999999858,1.0000000000000142
2.1,104.10000000000001,102.10000000000001,2.0,1.25,1.0000000000000142
2.2,104.2,102.2,2.0,1.25,1.0000000000000142
2.3000000000000003,104.35000000000001,102.30000000000001,2.049999999999997,1.4999999999999858,1.0000000000000142
2.4000000000000004,104.5,102.4,2.0999999999999943,1.4999999999999858,0.9999999999999432
2.5,104.65,102.5,2.1500000000000057,1.5000000000000568,1.0000000000000142
2.6,104.80000000000001,102.60000000000001,2.200000000000003,1.25,1.0000000000000142
2.7,104.9,102.7,2.200000000000003,1.25,1.0000000000000142
2.8000000000000003,105.05000000000001,102.80000000000001,2.25,1.4999999999999858,1.0000000000000142
2.9000000000000004,105.2,102.9,2.299999999999997,1.25,0.9999999999999432
3.0,105.30000000000001,103.0,2.3000000000000114,1.25,1.0000000000000142
3.1,105.45,103.10000000000001,2.3499999999999943,1.4999999999999858,1.0000000000000142
3.2,105.60000000000001,103.2,2.4000000000000057,1.4999999999999858,1.0000000000000142
3.3000000000000003,105.75,103.30000000000001,2.4499999999999886,1.25,1.0000000000000142
3.4000000000000004,105.85000000000001,103.4,2.450000000000003,1.25,0.9999999999999432
3.5,106.0,103.5,2.5,1.25,1.0000000000000142
3.6,106.10000000000001,103.60000000000001,2.5,1.25,1.0000000000000142
3.7,106.25,103.7,2.549999999999997,1.4999999999999858,1.0000000000000142
3.8000000000000003,106.4,103.80000000000001,2.5999999999999943,1.25,1.0000000000000142
3.9000000000000004,106.5,103.9,2.5999999999999943,1.25,0.9999999999999432
4.0,106.65,104.0,2.6500000000000057,1.5000000000000568,1.0000000000000142
4.1000000000000005,106.80000000000001,104.10000000000001,2.700000000000003,1.25,1.0000000000000142
4.2,106.9,104.2,2.700000000000003,1.25,1.0000000000000142
4.3,107.05000000000001,104.30000000000001,2.75,1.25,1.0000000000000142
4.4,107.15,104.4,2.75,1.25,0.9999999999999432
4.5,107.30000000000001,104.5,2.8000000000000114,1.4999999999999858,1.0000000000000142
4.6000000000000005,107.45,104.60000000000001,2.8499999999999943,1.25,1.0000000000000142
4.7,107.55000000000001,104.7,2.8500000000000085,1.25,1.0000000000000142
4.800000000000001,107.7,104.80000000000001,2.8999999999999915,1.25,1.0000000000000142
4.9,107.80000000000001,104.9,2.9000000000000057,1.25,0.9999999999999432
5.0,107.95,105.0,2.950000000000003,1.25,1.0000000000000142
5.1000000000000005,108.05000000000001,105.10000000000001,2.950000000000003,1.25,1.0000000000000142
5.2,108.2,105.2,3.0,1.25,1.0000000000000142
5.300000000000001,108.30000000000001,105.30000000000001,3.0,1.25,1.0000000000000142
5.4,108.45,105.4,3.049999999999997,1.25,0.9999999999999432
5.5,108.55000000000001,105.5,3.0500000000000114,1.25,1.0000000000000142
5.6000000000000005,108.7,105.60000000000001,3.0999999999999943,1.25,1.0000000000000142
5.7,108.80000000000001,105.7,3.1000000000000085,1.25,1.0000000000000142
5.800000000000001,108.95,105.80000000000001,3.1499999999999915,1.25,1.0000000000000142
5.9,109.05000000000001,105.9,3.1500000000000057,1.25,0.9999999999999432
6.0,109.2,106.0,3.200000000000003,1.25,1.0000000000000142
6.1000000000000005,109.30000000000001,106.10000000000001,3.200000000000003,1.25,1.0000000000000142
6.2,109.45,106.2,3.25,1.25,1.0000000000000142
6.300000000000001,109.55000000000001,106.30000000000001,3.25,1.25,1.0000000000000142
6.4,109.7,106.4,3.299999999999997,1.25,0.9999999999999432
6.5,109.80000000000001,106.5,3.3000000000000114,1.25,1.0000000000000142
