time_phys,true_pos_phys,ml_pos_phys,positional_error_phys,true_c_eff_discrete,ml_c_eff_discrete
0.0,124.95,124.95,0.0,1.0000000000000853,1.0000000000000853
0.1,125.05000000000001,125.05000000000001,0.0,1.0000000000000142,1.0000000000000142
0.2,125.15,125.15,0.0,0.9999999999999432,0.9999999999999432
0.30000000000000004,125.25,125.25,0.0,1.0000000000000142,1.0000000000000142
0.4,125.35000000000001,125.35000000000001,0.0,1.0000000000000142,1.0000000000000142
0.5,125.45,125.45,0.0,1.0000000000000142,1.0000000000000142
0.6000000000000001,125.55000000000001,125.55000000000001,0.0,1.0000000000000142,1.0000000000000142
0.7000000000000001,125.65,125.65,0.0,0.9999999999999432,0.9999999999999432
0.8,125.75,125.75,0.0,1.0000000000000142,1.0000000000000142
0.9,125.85000000000001,125.85000000000001,0.0,1.0000000000000142,1.0000000000000142
1.0,125.95,125.95,0.0,1.0000000000000142,1.0000000000000142
1.1,126.05000000000001,126.05000000000001,0.0,1.0000000000000142,1.0000000000000142
1.2000000000000002,126.15,126.15,0.0,0.9999999999999432,0.9999999999999432
1.3,126.25,126.25,0.0,1.0000000000000142,1.0000000000000142
1.4000000000000001,126.35000000000001,126.35000000000001,0.0,1.0000000000000142,1.0000000000000142
1.5,126.45,126.45,0.0,1.0000000000000142,1.0000000000000142
1.6,126.55000000000001,126.55000000000001,0.0,1.0000000000000142,1.0000000000000142
1.7000000000000002,126.65,126.65,0.0,0.9999999999999432,0.9999999999999432
1.8,126.75,126.75,0.0,1.0000000000000142,1.0000000000000142
1.9000000000000001,126.85000000000001,126.85000000000001,0.0,1.0000000000000142,1.0000000000000142
2.0,126.95,126.95,0.0,1.0000000000000142,1.0000000000000142
2.1,127.05000000000001,127.05000000000001,0.0,1.0000000000000142,1.0000000000000142
2.2,127.15,127.15,0.0,0.9999999999999432,0.9999999999999432
2.3000000000000003,127.25,127.25,0.0,1.0000000000000142,1.0000000000000142
2.4000000000000004,127.35000000000001,127.35000000000001,0.0,1.0000000000000142,1.0000000000000142
2.5,127.45,127.45,0.0,1.0000000000000142,1.0000000000000142
2.6,127.55000000000001,127.55000000000001,0.0,1.0000000000000142,1.0000000000000142
2.7,127.65,127.65,0.0,0.9999999999999432,0.9999999999999432
2.8000000000000003,127.75,127.75,0.0,1.0000000000000142,1.0000000000000142
2.9000000000000004,127.85000000000001,127.85000000000001,0.0,1.0000000000000142,1.0000000000000142
3.0,127.95,127.95,0.0,1.0000000000000142,1.0000000000000142
3.1,128.05,128.05,0.0,1.0000000000000142,1.0000000000000142
3.2,128.15,128.15,0.0,0.9999999999999432,0.9999999999999432
3.3000000000000003,128.25,128.25,0.0,0.9999999999999432,0.9999999999999432
3.4000000000000004,128.35,128.35,0.0,1.0000000000000853,1.0000000000000853
3.5,128.45000000000002,128.45000000000002,0.0,1.0000000000000853,1.0000000000000853
3.6,128.55,128.55,0.0,0.9999999999999432,0.9999999999999432
3.7,128.65,128.65,0.0,0.9999999999999432,0.9999999999999432
3.8000000000000003,128.75,128.75,0.0,0.9999999999999432,0.9999999999999432
3.9000000000000004,128.85,128.85,0.0,1.0000000000000853,1.0000000000000853
4.0,128.95000000000002,128.95000000000002,0.0,1.0000000000000853,1.0000000000000853
4.1000000000000005,129.05,129.05,0.0,0.9999999999999432,0.9999999999999432
4.2,129.15,129.15,0.0,0.9999999999999432,0.9999999999999432
4.3,129.25,129.25,0.0,0.9999999999999432,0.9999999999999432
4.4,129.35,129.35,0.0,1.0000000000000853,1.0000000000000853
4.5,129.45000000000002,129.45000000000002,0.0,1.0000000000000853,1.0000000000000853
4.6000000000000005,129.55,129.55,0.0,0.9999999999999432,0.9999999999999432
4.7,129.65,129.65,0.0,0.9999999999999432,0.9999999999999432
4.800000000000001,129.75,129.75,0.0,0.9999999999999432,0.9999999999999432
4.9,129.85,129.85,0.0,1.0000000000000853,1.0000000000000853
5.0,129.95000000000002,129.95000000000002,0.0,1.0000000000000853,1.0000000000000853
5.1000000000000005,130.05,130.05,0.0,0.9999999999999432,0.9999999999999432
5.2,130.15,130.15,0.0,0.9999999999999432,0.9999999999999432
5.300000000000001,130.25,130.25,0.0,0.9999999999999432,0.9999999999999432
5.4,130.35,130.35,0.0,1.0000000000000853,1.0000000000000853
5.5,130.45000000000002,130.45000000000002,0.0,1.0000000000000853,1.0000000000000853
5.6000000000000005,130.55,130.55,0.0,0.9999999999999432,0.9999999999999432
5.7,130.65,130.65,0.0,0.9999999999999432,0.9999999999999432
5.800000000000001,130.75,130.75,0.0,0.9999999999999432,0.9999999999999432
5.9,130.85,130.85,0.0,1.0000000000000853,1.0000000000000853
6.0,130.95000000000002,130.95000000000002,0.0,1.0000000000000853,1.0000000000000853
6.1000000000000005,131.05,131.05,0.0,0.9999999999999432,0.9999999999999432
6.2,131.15,131.15,0.0,0.9999999999999432,0.9999999999999432
6.300000000000001,131.25,131.25,0.0,0.9999999999999432,0.9999999999999432
6.4,131.35,131.35,0.0,1.0000000000000853,1.0000000000000853
6.5,131.45000000000002,131.45000000000002,0.0,1.0000000000000853,1.0000000000000853
6.6000000000000005,131.55,131.55,0.0,0.9999999999999432,0.9999999999999432
6.7,131.65,131.65,0.0,0.9999999999999432,0.9999999999999432
6.800000000000001,131.75,131.75,0.0,0.9999999999999432,0.9999999999999432
6.9,131.85,131.85,0.0,1.0000000000000853,1.0000000000000853
7.0,131.95000000000002,131.95000000000002,0.0,1.0000000000000853,1.0000000000000853
7.1000000000000005,132.05,132.05,0.0,0.9999999999999432,0.9999999999999432
7.2,132.15,132.15,0.0,0.9999999999999432,0.9999999999999432
7.300000000000001,132.25,132.25,0.0,0.9999999999999432,0.9999999999999432
7.4,132.35,132.35,0.0,1.0000000000000853,1.0000000000000853
7.5,132.45000000000002,132.45000000000002,0.0,1.0000000000000853,1.0000000000000853
7.6000000000000005,132.55,132.55,0.0,0.9999999999999432,0.9999999999999432
7.7,132.65,132.65,0.0,0.9999999999999432,0.9999999999999432
7.800000000000001,132.75,132.75,0.0,0.9999999999999432,0.9999999999999432
7.9,132.85,132.85,0.0,1.0000000000000853,1.0000000000000853
8.0,132.95000000000002,132.95000000000002,0.0,1.0000000000000853,1.0000000000000853
8.1,133.05,133.05,0.0,0.9999999999999432,0.9999999999999432
8.200000000000001,133.15,133.15,0.0,0.9999999999999432,0.9999999999999432
8.3,133.25,133.25,0.0,0.9999999999999432,0.9999999999999432
8.4,133.35,133.35,0.0,1.0000000000000853,1.0000000000000853
