Equation,N,Initial Condition,Boundary Function,DX,L2 Error,Avg L2 Error,Median L2 Error,L1 Error,Avg L1 Error,Median L1 Error,Peak Max Error,log(dx),log(mean L2),log(median L2),log(mean L1)
wave,2500,wave_gauss,periodic,0.1,0.0004603911239605629,0.00047147491882837986,0.0004730644487181424,0.00020267756862852248,0.00020260386369998204,0.000202379805942291,0.0015534773797414303,-2.3025850929940455,-7.659644651731129,-7.65627892353618,-8.504257895749193
wave,5000,wave_gauss,periodic,0.05,0.0002330303354055911,0.00023477138240781724,0.00023454590427364046,9.962361383098473e-05,0.00010015281675083394,0.00010019294480354075,0.0007625955030887699,-2.995732273553991,-8.356898358154671,-8.357859235403065,-9.208813370927597
wave,10000,wave_gauss,periodic,0.025,0.00011726410937407285,0.0001174746688288235,0.00011744521425052606,4.987613583820821e-05,5.002816073126546e-05,5.004880974448062e-05,0.0003796349825685441,-3.6888794541139363,-9.04928783205727,-9.049538594811496,-9.902924496456649
wave,20000,wave_gauss,periodic,0.0125,5.872295949351588e-05,5.8788989077849937e-05,5.8785605871762944e-05,2.4981271795210718e-05,2.5008053895541816e-05,2.5010168708344396e-05,0.00018961978180742634,-4.382026634673881,-9.741555981175928,-9.741613531126909,-10.596312629155445
