time,l2_error,l1_error,max_error
0.0,0.0,0.0,0.0
0.0625,7.584040179165258e-10,2.2078599653008656e-10,4.716817825212161e-09
0.125,3.0269572610186227e-09,8.814184624868075e-10,1.8821251446254905e-08
0.1875,6.7857531409666635e-09,1.976735559158258e-09,4.2175709369374204e-08
0.25,1.2001846031295564e-08,3.4982214172192145e-09,7.455243733467398e-08
0.3125,1.862959663421331e-08,5.43408936579843e-09,1.1563584989549014e-07
0.375,2.6611150218553708e-08,7.76938023798283e-09,1.650257519525411e-07
0.4375,3.587704251442521e-08,1.0486012358115982e-08,2.222414132724282e-07
0.5,4.634692678166115e-08,1.3563067523501022e-08,2.8672646168459437e-07
0.5625,5.7930414144937564e-08,1.697759799408975e-08,3.5785451435454974e-07
0.625,7.052801830647422e-08,2.0703299393920315e-08,4.3493550860862484e-07
0.6875,8.403219463670721e-08,2.4712279435510122e-08,5.172226399396962e-07
0.75,9.832846271645025e-08,2.8975455153294503e-08,6.039198336971197e-07
0.8125,1.1329660075294421e-07,3.3460590910138926e-08,6.941896628642752e-07
0.875,1.2881189968559718e-07,3.813619284608115e-08,7.871616426458061e-07
0.9375,1.4474646437609473e-07,4.296857232943973e-08,8.819407659732548e-07
1.0,1.6097054908688477e-07,4.792329879534747e-08,9.77616233188705e-07
1.0625,1.7735391438605188e-07,5.296717903291729e-08,1.0732702380167325e-06
1.125,1.937671926729363e-07,5.806634259430465e-08,1.1679867598646254e-06
1.1875,2.1008324997180748e-07,6.318699076761655e-08,1.2608602049102302e-06
1.25,2.2617853191004224e-07,6.829627147325211e-08,1.351003871885581e-06
1.3125,2.419343825149731e-07,7.336286642078062e-08,1.4375581138814653e-06
1.375,2.5723832510084706e-07,7.835680627130533e-08,1.5196981154597111e-06
1.4375,2.719852954139075e-07,8.32497316737291e-08,1.596641212020522e-06
1.5,2.860788179825731e-07,8.801647860834815e-08,1.6676537080151377e-06
1.5625,2.994321175768297e-07,9.263073783468415e-08,1.7320570597778584e-06
1.625,3.1196915851553154e-07,9.707328474570976e-08,1.789233462945461e-06
1.6875,3.2362560526169357e-07,1.0132370228336567e-07,1.8386306986917234e-06
1.75,3.343496982503523e-07,1.0536640173275418e-07,1.8797662822978012e-06
1.8125,3.4410303910455915e-07,1.0918954655439156e-07,1.9122308314578618e-06
1.875,3.5286127906942825e-07,1.1278376749713874e-07,1.9356906511003302e-06
1.9375,3.6061470352830177e-07,1.161420357593447e-07,1.9498895463820887e-06
2.0,3.673687036683221e-07,1.1926392775012582e-07,1.9546498143396818e-06
2.0625,3.7314412348833476e-07,1.221494624644483e-07,1.9498724732613937e-06
2.125,3.7797746620921785e-07,1.2480566995447593e-07,1.9355366991380407e-06
2.1875,3.819209385471232e-07,1.2724107543319849e-07,1.9116985564560096e-06
2.25,3.850423043181891e-07,1.2947188153954898e-07,1.878488959716762e-06
2.3125,3.87424510459323e-07,1.3151383402956193e-07,1.8361110202258502e-06
2.375,3.8916503964827263e-07,1.333895500725726e-07,1.7848367339645677e-06
