time,l2_error,relative_error,max_error
0.0,0.0007694002637237987,0.0021733352148925714,0.0024844706169351305
0.0,0.0030578515728407257,0.008637554233481637,0.009901151466674918
0.0,0.006818053498100595,0.019259046900668694,0.022140747223236112
0.0,0.011994779739913308,0.03388181474940558,0.039024060802414606
0.0,0.018528680616031506,0.05233821193850609,0.060306330741564995
2.0,0.014470066141479122,0.04168578311489992,0.04647253674369911
4.0,0.01044391980356163,0.03177249469759847,0.033058806988669476
6.0,0.048698132022195445,0.15998297536016104,0.1550755815805337
8.0,0.09325766098815269,0.3329461047279917,0.2901086447027742
10.0,0.13661024610558695,0.5277886368245618,0.4117322743066678
12.0,0.17405036806341467,0.7258479989428799,0.5029332170467024
14.000000000000002,0.2049017587728052,0.9299941164677921,0.5577731836990475
16.0,0.23090234017887945,1.1507738606881797,0.579097708532018
18.0,0.2577616615149201,1.4016364669569965,0.5744756015536869
20.0,0.28875650479752657,1.630975172443946,0.5761879384413185
22.0,0.32363285717698015,1.7618503620603945,0.6525989772627346
24.0,0.3586630437619997,1.7953024334294572,0.7829757592755043
26.0,0.38927358279992413,1.78776101956612,0.8952255301809844
28.000000000000004,0.4125387748076195,1.7760752526712278,0.9696664014025982
30.0,0.42677815030625743,1.7656703131272269,0.9983088159014333
32.0,0.4334224901390653,1.7562480864468217,0.9919100809307796
34.0,0.4339677985716896,1.742267535075072,0.9503825626669066
36.0,0.4304855393659228,1.7222678283742388,0.8819851754005281
38.0,0.42501038169889693,1.6984721483157363,0.7950769550379948
40.0,0.4192897339119803,1.6751085135789798,0.7095462463490136
42.0,0.414584615736902,1.656198019956554,0.7482338925040565
44.0,0.41154322325275566,1.6440265354001102,0.8018661113362283
46.0,0.41020565833063083,1.6386797343335553,0.8547074292104835
48.0,0.410146547180079,1.6384431132482447,0.9010487207473804
50.0,0.41069223948435296,1.6406229923096611,0.9386350231533751
52.0,0.41112778488470647,1.6423630631664716,0.9698929294737713
54.0,0.41083988602716,1.6412143095544591,0.9904594478778839
56.00000000000001,0.40939188749219857,1.6354387458291404,0.9989536972613431
57.99999999999999,0.40651253059648645,1.6239859588650112,0.9950138137816145
60.0,0.40212550705721267,1.6066947823216768,0.9832565757954612
62.0,0.39624587064234185,1.5841367275101597,0.9599368040341334
64.0,0.3889080748027952,1.5579330742914954,0.9256220217750574
66.0,0.3800044014818178,1.5311210436921552,0.8818065567709843
68.0,0.36911835847282837,1.5084607755304167,0.8328681898800219
70.0,0.35553329082257334,1.4962313758933945,0.7771843423389087
72.0,0.3386909186137815,1.501161441050927,0.7166687842983066
74.0,0.31917849078724975,1.527549066165699,0.6536512030463455
76.0,0.2997393451047353,1.5690651565531146,0.5916064067455951
78.0,0.2851114069893314,1.5949372237826374,0.5511536328798947
80.0,0.27963458406061475,1.5637223043829378,0.5283706812051283
82.0,0.2839630204605759,1.4835281608530246,0.515073469054118
84.0,0.29476429994835535,1.401041373969204,0.5078624721586759
86.0,0.30808797004877986,1.3393565359367905,0.5047644236461188
88.0,0.3224273007125568,1.2957352264675714,0.506105790308304
90.0,0.3388561135619368,1.260933588828485,0.523459578772872
92.0,0.3587506606624746,1.2296842053070283,0.6126350819848745
94.0,0.38109736681880424,1.2030409583189228,0.7788128021056306
96.0,0.40168746137251427,1.1848642160339824,0.9139477287568837
98.0,0.41500371927868474,1.1781676398229763,0.9900724900602388
100.0,0.4173340408656082,1.1847832660367994,0.990080705617413
102.0,0.4089728896493257,1.2063541655439343,0.9139730409842164
104.0,0.3941888493495055,1.244367902719036,0.778857246996923
106.0,0.3789440056286861,1.2989006279650726,0.6127021852557235
108.0,0.3677221682533373,1.3683484368438923,0.5280489672961577
110.00000000000001,0.3616916764382668,1.4535265631832444,0.5259793060984024
112.00000000000001,0.3595550936748354,1.5631005153057678,0.5619709152653592
114.00000000000001,0.3599668734994719,1.7109551024987097,0.652948321807671
115.99999999999999,0.36317273830707814,1.8973491113694423,0.7563503932020323
118.0,0.3705123685183523,2.0719127308527385,0.8497053434958661
120.0,0.38234498232059316,2.1388700335390203,0.9248138685425158
122.0,0.3965623287450425,2.0759107624592517,0.9745573381694486
124.0,0.4093101892772094,1.9589083082019612,0.9982782273760195
126.0,0.41707759545673934,1.8485904694121855,0.9908282282189282
128.0,0.41823565370466936,1.7601088948446768,0.9520015020360445
