time,l2_error,relative_error,max_error
0.0,0.0003410042980098585,0.002153847179151416,0.0024844706169351305
0.0,0.0013598055312300278,0.008588787076078483,0.009901151466674918
0.0,0.0030438668167236172,0.019225634384007758,0.022140747223236112
0.0,0.005372616947821253,0.03393445749880652,0.039024060802414606
0.0,0.008317924043200515,0.052537570175509134,0.060306330741564995
2.0,0.00645168729026492,0.04155665284124787,0.04647253674369911
4.0,0.004636734530568401,0.031524130544492275,0.033058806988669476
6.0,0.02230306554367513,0.16338616846499335,0.1550755815805337
8.0,0.043171952839078195,0.3411143267591759,0.2901086447027742
10.0,0.06415771521949502,0.5378446497786056,0.4117322743066678
12.0,0.08315075100061424,0.7227307581358845,0.5029332170467024
14.000000000000002,0.09918307713075822,0.8772863150942093,0.5577731836990474
16.0,0.11217716674464397,0.9990349524301534,0.579097708532018
18.0,0.12253332485039184,1.093682948384938,0.5744756015536869
20.0,0.13078000374701135,1.1679884378867587,0.5524720954813829
22.0,0.13738089520401223,1.2271080264143925,0.5250058733622973
24.0,0.14267848247611845,1.274460430838702,0.5114622416381459
26.0,0.14691073220909123,1.3122701865878175,0.505731659910999
28.000000000000004,0.1502485207199339,1.342085554638195,0.5032372052872918
30.0,0.15282744792002453,1.3651217566355835,0.5025322330504502
32.0,0.15476685503426593,1.3824454007635711,0.5022563731459397
34.0,0.15617780420089317,1.3950486181226283,0.5013195390531285
36.0,0.15716421899720423,1.4038597076042696,0.5009899333663794
38.0,0.15782095701826285,1.4097259795374104,0.5009240388517553
40.0,0.15823132892893949,1.413391601357945,0.4998816713208171
42.0,0.15846537883777376,1.4154822377552094,0.5004253508026055
44.0,0.15857937802961872,1.416500528515996,0.4999493861600944
46.0,0.15861646941201368,1.4168318450050545,0.5001526992191316
48.0,0.15860815434076303,1.4167575711431717,0.49999221192676263
50.0,0.15857624675131146,1.4164725585653484,0.5000408479028086
52.0,0.15853495716405666,1.4161037418699163,0.49999898474651927
54.0,0.15849285602789898,1.4157276760638855,0.5000017342673546
56.00000000000001,0.15845456425539586,1.4153856371641096,0.49999988761337183
57.99999999999999,0.1584221056541453,1.4150957027073245,0.49999996480429065
60.0,0.15839592028097907,1.4148618034740759,0.4999999894094573
62.0,0.1583755774531869,1.4146800924174743,0.4999999969370387
64.0,0.15836024567198634,1.41454314222392,0.49999999914826626
66.0,0.15834897992021477,1.4144425115549448,0.4999999997722008
68.0,0.15834088076618721,1.4143701658747405,0.4999999999413813
70.0,0.15833516955243515,1.414319145088215,0.49999999998548206
72.0,0.15833121425825825,1.414283757372148,0.49999999999655004
74.0,0.15832854127017612,1.4142593936658368,0.5000000000001078
76.0,0.15832692335796228,1.414241421811706,0.5000000000491216
78.0,0.15832692726712116,1.4142198956562981,0.5000000019544317
80.0,0.15833240382509822,1.4141569284358722,0.5000000562675796
82.0,0.1583593922443617,1.4139069750990225,0.5000011762875984
84.0,0.1584609547497763,1.412996940132305,0.5000178564248204
86.0,0.15877833948849768,1.4101897770957237,0.5001968345203276
88.0,0.15960655182595482,1.4030268461240447,0.5015755557992222
90.0,0.16139932726534129,1.388252790730955,0.5091578194443671
92.0,0.1645803211662651,1.3642497907083584,0.5508239300366841
94.0,0.16912514619055005,1.3341297554512432,0.697676326071031
96.0,0.17419214493061572,1.3052677213597816,0.8521437889662113
98.0,0.17825312646605723,1.285058740738945,0.9607894391523232
100.0,0.1798133915523119,1.2778874214757479,1.0
102.0,0.1782531184514299,1.28505868296006,0.9607894391523232
104.0,0.1741921260324805,1.3052675797510662,0.8521437889662113
106.0,0.16912510990977714,1.334129469253361,0.697676326071031
108.0,0.16458025580372956,1.364249248901022,0.5508239300366841
110.00000000000001,0.16139921318763795,1.3882518095082161,0.5091578194443662
112.00000000000001,0.1596063563916925,1.4030251281524855,0.5015755557992106
114.00000000000001,0.1587780066936087,1.410186821378012,0.5001968345201687
115.99999999999999,0.1584603819928691,1.412991832856771,0.5000178564228607
118.0,0.15835837336983621,1.4138978781090814,0.5000011762659976
120.0,0.1583304827858853,1.4141397705399072,0.5000000560549505
122.0,0.15832302356314948,1.4141850266929523,0.500000000085291
124.0,0.15831841026649315,1.414165379365305,0.5
126.0,0.1583091091457415,1.4140858174786246,0.5
128.0,0.15828626208464303,1.4138822248676424,0.5
130.0,0.15823263901352358,1.4134032973675301,0.5
132.0,0.15811458680007068,1.4123488089589273,0.5
134.0,0.15787117329807235,1.4101745333273539,0.5
136.0,0.15740134042548692,1.4059777801614748,0.5
138.0,0.15655276554068331,1.3983979372625708,0.5
140.0,0.15511923445611878,1.3855930091304092,0.5
142.0,0.15285537211659064,1.3653711981971535,0.5
144.0,0.14951686963261493,1.33555023035277,0.5
146.0,0.14492996252820867,1.2945779651164182,0.5
148.0,0.13908625380952871,1.242379396857703,0.5
150.0,0.13224866403813113,1.1813030473013864,0.5
152.0,0.1250394458485762,1.1169071497857312,0.5
154.0,0.1184561623571979,1.05810237541484,0.5
156.0,0.11372942246283758,1.015881062393493,0.5
158.0,0.11195279670450063,1.0000114622164173,0.5
160.0,0.1135922232336186,1.0146555387275824,0.5
162.0,0.1182314606904813,1.0560952416146112,0.5
164.0,0.12479724834854847,1.11474373553189,0.5
166.0,0.13204727164872979,1.17950412218533,0.5
168.0,0.13895630427070405,1.2412186306047848,0.5
170.0,0.144874509799602,1.2940826370330638,0.5
172.0,0.1495202367054206,1.3355803065232539,0.5
174.0,0.15289419504995988,1.3657179816586562,0.5
176.0,0.15517148898747024,1.3860597695137404,0.5
178.0,0.15660285660819762,1.3988453726385193,0.5
180.0,0.15744125978979426,1.4063343574270668,0.5
182.0,0.157898993423236,1.410423034919349,0.5
184.0,0.1581319386211842,1.4125038035546453,0.5
186.0,0.1582424487619795,1.4134909285817954,0.5
188.0,0.15829132562786588,1.41392751817636,0.5
190.0,0.15831148192617717,1.4141075630697482,0.5
192.0,0.15831923289918584,1.4141767981588227,0.5
194.0,0.15832201157357279,1.4142016184966661,0.5
196.0,0.15832293814837245,1.4142098950690032,0.5
198.0,0.15832322059464016,1.4142124180028959,0.5
200.0,0.1583232878957546,1.4142130191659559,0.5
202.0,0.158323273456688,1.414212890189883,0.5
204.0,0.15832319963631963,1.4142122307939884,0.5
206.0,0.15832303532396277,1.4142107630839795,0.5
208.0,0.15832269919425532,1.4142077606260675,0.5
210.0,0.15832203271402862,1.414201807332486,0.5
212.0,0.15832074437084567,1.4141902992863438,0.5
214.0,0.1583183150088208,1.4141685991596633,0.5
216.0,0.15831384641576982,1.414128683727423,0.5
218.00000000000003,0.15830582888404038,1.4140570676189907,0.5
220.00000000000003,0.15829179845396227,1.4139317416663484,0.5
222.00000000000003,0.15826785265962073,1.4137178473330372,0.5
224.00000000000003,0.15822799769962229,1.413361845357224,0.5
226.00000000000003,0.1581633135922969,1.4127840585519569,0.5
228.00000000000003,0.15806095044520985,1.4118697060443925,0.5
230.00000000000003,0.1579030104605355,1.410458916857647,0.5
