time,l2_error,relative_error,max_error
0.0,0.001359805531230044,0.008588787076078585,0.009901151466674585
0.0,0.005372616947821191,0.03393445749880612,0.039024060802412386
0.0,0.011844735698309057,0.07481357484491145,0.08568309759137516
0.0,0.020472888529889387,0.1293106083018016,0.14724809234843206
0.0,0.030870796756738348,0.19498574915538253,0.22038828452188353
2.0,0.037228817984896544,0.2397985201519002,0.2621578345322205
4.0,0.03478127079064857,0.23647015236244973,0.23850429231352588
6.0,0.025809945595073474,0.18907661419059377,0.1694123275459093
8.0,0.013293846513063697,0.10503860041371173,0.08160008889671999
10.0,0.00017141827021148945,0.0014370274750609888,0.0008474971501266637
12.0,0.012915053724974052,0.11225522869838209,0.06162393847218969
14.000000000000002,0.024534201765573388,0.21700798244363956,0.09924376881704791
16.0,0.0352221271681738,0.3136835878556848,0.13388358774573558
18.0,0.04537311245261743,0.404982068879373,0.1701848811616088
20.0,0.05523543249913413,0.49330436360487934,0.207524919824616
22.0,0.06485995930512589,0.5793394819420742,0.24352076163210837
24.0,0.07418242393250844,0.6626266436602204,0.2783174223034838
26.0,0.08310760245554237,0.7423530421588344,0.30902522440816715
28.000000000000004,0.09155239735413068,0.8177860879609529,0.3397176510433259
30.0,0.0994576263579539,0.8883991158160651,0.36598372352201247
32.0,0.10678642677194711,0.9538631803441967,0.3890985846667812
34.0,0.11351966783853674,1.0140074420830205,0.4109741216893108
36.0,0.11965201081924416,1.068784218155629,0.42874864957282743
38.0,0.12518914190571506,1.1182443005972884,0.44288657778580554
40.0,0.1301458196731024,1.1625195195094253,0.4569559783386525
42.0,0.13454434111470107,1.2018090414140383,0.4678423018012439
44.0,0.13841318166346345,1.236367221362521,0.4760704210394198
46.0,0.14178569716840217,1.2664920084220455,0.4821483064875229
48.0,0.14469885617105469,1.2925136218132753,0.4865381725776542
50.0,0.14719201144160224,1.314783577732408,0.4907955026143005
52.0,0.1493057366380877,1.3336642978812785,0.4938725715770988
54.0,0.15108075800664325,1.3495195669454347,0.4959933690706619
56.00000000000001,0.1525570083858508,1.3627060825463402,0.4974226480229707
57.99999999999999,0.15377282468717715,1.373566286784784,0.4983645011438159
60.0,0.15476430228745425,1.3824225993914663,0.4989712554318847
62.0,0.155564811484567,1.3895730984971117,0.4993531902705837
64.0,0.15620467311230182,1.3952886230803745,0.4995912161428865
66.0,0.15671098319447646,1.3998112066748032,0.4997571716454017
68.0,0.1571075706277205,1.4033536990174291,0.49985817463938
70.0,0.15741506777697187,1.4061003926774536,0.49991854172892564
72.0,0.15765107285738292,1.4082084364666612,0.49995398259010315
74.0,0.1578303929484332,1.4098097161925782,0.4999744262405889
76.0,0.15796542052232238,1.4110123292895933,0.49998601600009157
78.0,0.15806699771999644,1.4118981330644396,0.4999924767486757
80.0,0.1581472294310266,1.4125030303959323,0.49999607031050014
82.0,0.15822870096197098,1.4127401019938783,0.4999990977501896
84.0,0.15836960396863786,1.4121823648671796,0.500016789149079
86.0,0.15871515673242648,1.4096286194656125,0.5001962947961435
88.0,0.1595633884950595,1.4026474173893126,0.5015752869389275
90.0,0.1613702817434037,1.388002959907176,0.5091576874898486
92.0,0.16456111059316827,1.3640905491894388,0.5508239162574821
94.0,0.1691126348917284,1.3340310611032218,0.6976763257459753
96.0,0.17418401265009084,1.305206784035229,0.8521437881788633
