time,l2_error,relative_error,max_error
0.0,0.012102124799707287,0.03418503377543746,0.039024060802378746
0.0,0.04617039697005497,0.13041813780377307,0.1472480923483328
0.0,0.09643897902937494,0.2724124738382822,0.30136839537976867
0.0,0.15552751317107077,0.43932064647783536,0.4717360014747971
0.0,0.21653902954787901,0.611660692754857,0.6315013636829683
2.0,0.2629644362267576,0.7574930460379723,0.7237892597704226
4.0,0.2840419371022402,0.8635800319945589,0.7117092569019868
6.0,0.28539320250872097,0.9347742786901245,0.7333769154225069
8.0,0.2727864914655795,0.963488786164134,0.8077261239266027
10.0,0.24970742405741528,0.9364520484236162,0.8013869665623282
12.0,0.2191444196697051,0.8557264594540083,0.7041468745669994
14.000000000000002,0.187868391687258,0.7552423785244762,0.5283931996557991
16.0,0.16811070562539876,0.6959849021021808,0.3650112995453702
18.0,0.16936286014671814,0.7281368048292108,0.36492407007505795
20.0,0.18634965527649913,0.8407320112405655,0.3649299619907062
22.0,0.20615901731140415,0.9829080842940573,0.41781976137531884
24.0,0.22085401656133746,1.1122818233820775,0.46569913222579024
26.0,0.2289188528675916,1.2074076211759466,0.4848095126828981
28.000000000000004,0.23214943041659544,1.2651071038223913,0.4899708049093683
30.0,0.23291907668238873,1.2940803503146348,0.4907895527189387
32.0,0.23284658309010942,1.306236809994658,0.4907747970900232
34.0,0.23265137602840785,1.310563627502843,0.49064365493663886
36.0,0.23252128272450934,1.3118774167939826,0.4905383352148311
38.0,0.23245468964211363,1.3121942867190433,0.4904989119211635
40.0,0.23242095555759268,1.3122140063913028,0.4905294928608516
42.0,0.2324007931503359,1.312148715615325,0.4906123835378233
44.0,0.232385916935545,1.312059043020713,0.490719653173851
46.0,0.23237403479493396,1.3119673267409957,0.49082296447392815
48.0,0.23236859436682028,1.311905160075473,0.49089997131200125
50.0,0.2323886699290702,1.3119846226642538,0.49093716557343847
52.0,0.2325024613853945,1.3125923395961328,0.49092999376745794
54.0,0.23290615973459905,1.3148364729712376,0.4908813114149475
