dx,error,log_dx,log_error,observed_order,expected_order,log_intercept,error_metric
1.0,6.424050402119346e-06,0.0,-11.955461735441604,1.9515210450942309,2,-11.930680942385683,avg_l1
0.5,1.7563231964722028e-06,-0.6931471805599453,-13.252288027026255,1.9515210450942309,2,-11.930680942385683,avg_l1
0.25,4.455797317009397e-07,-1.3862943611198906,-14.623889634778648,1.9515210450942309,2,-11.930680942385683,avg_l1
0.125,1.117242300574e-07,-2.0794415416798357,-16.007232233559012,1.9515210450942309,2,-11.930680942385683,avg_l1
