time,l2_error,l1_error,max_error
0.0,0.0,0.0,0.0
0.025,2.3737059363193223e-10,9.856879031047238e-11,8.985150401485953e-10
0.05,4.747410787190245e-10,1.971375465814939e-10,1.797030191319493e-09
0.075,7.121114731094374e-10,2.9570627911999494e-10,2.695544454311971e-09
0.1,9.494819601398297e-10,3.9427503579341284e-10,3.5940586062821467e-09
0.125,1.1868525531652148e-09,4.928438257470546e-10,4.492574312564557e-09
0.15,1.4242231482678925e-09,5.914126166810805e-10,5.391089019646245e-09
0.17500000000000002,1.6615936345120606e-09,6.899813730160638e-10,6.28960405979484e-09
0.2,1.8989640281319555e-09,7.885501051647607e-10,7.188117101541991e-09
0.225,2.1363345129042537e-09,8.871188612942501e-10,8.086631919645981e-09
0.25,2.3737051066093887e-09,9.856876517618906e-10,8.985147514906089e-09
0.275,2.6110757001380373e-09,1.0842564419193874e-09,9.88366144483166e-09
0.3,2.848446188634525e-09,1.1828251990528452e-09,1.0782177373158675e-08
0.325,3.0858165836492715e-09,1.281393931688547e-09,1.1680690747972733e-08
0.35000000000000003,3.323187070023597e-09,1.379962688267523e-09,1.2579205344032118e-08
0.375,3.5605576656136545e-09,1.4785314794349097e-09,1.3477723159738275e-08
0.4,3.797928258425928e-09,1.5771002694679134e-09,1.4376236534552334e-08
0.425,4.035298744293871e-09,1.6756690257475262e-09,1.527475201879014e-08
0.45,4.272669140174658e-09,1.7742377589360909e-09,1.6173264949514987e-08
0.47500000000000003,4.510039625851738e-09,1.872806515232844e-09,1.7071778879440558e-08
0.5,4.747410220175066e-09,1.9713753058333505e-09,1.7970295362879085e-08
0.525,4.984780815315023e-09,2.0699440966156977e-09,1.8868809292804656e-08
0.55,5.222151301299917e-09,2.168512852807541e-09,1.976732377784174e-08
0.5750000000000001,5.459521696519654e-09,2.2670815855704477e-09,2.0665838484923427e-08
0.6,5.696892183978312e-09,2.3656503423630464e-09,2.1564352303826695e-08
0.625,5.9342627783016064e-09,2.4642191327272484e-09,2.246286867624292e-08
0.65,6.171633371337405e-09,2.562787922755745e-09,2.3361383161280003e-08
0.675,6.40900385728668e-09,2.661356679190729e-09,2.4259898534495505e-08
0.7000000000000001,6.646374250613106e-09,2.759925411072662e-09,2.5158412464421076e-08
0.725,6.883744738441294e-09,2.858494167988354e-09,2.6056925950257437e-08
0.75,7.121115332176913e-09,2.957062958570196e-09,2.6955442877785174e-08
0.775,7.358485925598349e-09,3.055631748501024e-09,2.7853956474643837e-08
0.8,7.595856409887265e-09,3.154200504532221e-09,2.8752471070703223e-08
0.8250000000000001,7.833226805846121e-09,3.252769237228682e-09,2.9650986332896423e-08
0.85,8.070597291892605e-09,3.3513379940355384e-09,3.0549500817933506e-08
0.875,8.307967887619019e-09,3.4499067849577242e-09,3.144801619114901e-08
0.9,8.545338479721069e-09,3.548475574985037e-09,3.234653056516379e-08
0.925,8.782708966175127e-09,3.647044331492064e-09,3.324504593837929e-08
0.9500000000000001,9.020079360671596e-09,3.745613064067337e-09,3.4143561755684004e-08
0.975,9.25744984657281e-09,3.84418182026953e-09,3.5042076129698785e-08
1.0,9.494820440892415e-09,3.9427506106517735e-09,3.594059028166896e-08
1.025,9.732191035253232e-09,4.041319400806902e-09,3.683910498875065e-08
1.05,9.969561522257204e-09,4.139888157456102e-09,3.7737620472988453e-08
1.075,1.0206931917575996e-08,4.2384568897737875e-09,3.863613518007014e-08
1.1,1.0444302403164106e-08,4.337025645993918e-09,3.953464977612953e-08
1.125,1.0681672995674367e-08,4.435594435871012e-09,4.0433164483211215e-08
1.1500000000000001,1.0919043588171844e-08,4.534163225577592e-09,4.133167963438211e-08
1.175,1.1156414073334343e-08,4.632731981735689e-09,4.223019356430768e-08
1.2,1.1393784466456362e-08,4.731300713871589e-09,4.312870860445628e-08
1.225,1.1631154951573546e-08,4.8298694700360406e-09,4.402722197927034e-08
1.25,1.1868525546711822e-08,4.92843826096223e-09,4.492573690839663e-08
1.2750000000000001,1.210589614048289e-08,5.027007051545177e-09,4.582425272570134e-08
1.3,1.234326662640901e-08,5.12557580792608e-09,4.672276709971612e-08
1.325,1.2580637020694312e-08,5.224144540284147e-09,4.762128213986472e-08
1.35,1.2818007506752102e-08,5.322713296619857e-09,4.851979529263417e-08
1.375,1.3055378102298588e-08,5.4212820876610626e-09,4.941831310834033e-08
1.4000000000000001,1.3292748696585994e-08,5.519850878405232e-09,5.03168271492882e-08
1.425,1.3530119183388886e-08,5.618419635003657e-09,5.1215342633526006e-08
1.45,1.3767489577427446e-08,5.716988367381863e-09,5.2113856008340065e-08
1.475,1.4004860063171105e-08,5.81555712349227e-09,5.301236927213182e-08
1.5,1.4242230656403155e-08,5.9141259134775255e-09,5.391088486739193e-08
1.5250000000000001,1.4479601249610265e-08,6.012694703811521e-09,5.4809399463451314e-08
1.55,1.4716971735619188e-08,6.111263460253404e-09,5.570791505871142e-08
1.575,1.4954342130455934e-08,6.209832192834184e-09,5.660642854454778e-08
1.6,1.5191712614998292e-08,6.308400948938192e-09,5.750494591616473e-08
1.625,1.542908320915546e-08,6.406969739397427e-09,5.840346151142484e-08
1.6500000000000001,1.566645380339343e-08,6.505538529833765e-09,5.930197555237271e-08
1.675,1.5903824291632006e-08,6.604107286776843e-09,6.020049125865512e-08
1.7,1.6141194686861145e-08,6.702676019208864e-09,6.109900330120155e-08
1.725,1.6378565173629116e-08,6.801244775862781e-09,6.199751823032784e-08
1.75,1.6615935768008658e-08,6.899813566563623e-09,6.289603382558795e-08
1.7750000000000001,1.685330636036717e-08,6.998382356422782e-09,6.379454720040201e-08
1.8,1.709067684764824e-08,7.096951113248716e-09,6.469306357281823e-08
1.825,1.732804724245562e-08,7.1955198457881654e-09,6.55915771696769e-08
1.85,1.7565417729495058e-08,7.294088602588964e-09,6.649009132164707e-08
