time,l2_error,l1_error,max_error
0.0,0.0,0.0,0.0
0.0390625,2.934347829662181e-07,1.7152215875520637e-08,9.081229645935274e-06
0.078125,5.623658400554534e-07,3.30369299865566e-08,1.732201954829371e-05
0.1171875,8.089684064964412e-07,4.77802496909623e-08,2.4802506181864636e-05
0.15625,1.035197383691795e-06,6.143238055233101e-08,3.159425413845618e-05
0.1953125,1.2428127194738263e-06,7.408833993556555e-08,3.7761287762450024e-05
0.234375,1.4334015062995554e-06,8.584452099182408e-08,4.336098441992675e-05
0.2734375,1.6083972677415569e-06,9.671530699084129e-08,4.844484985944142e-05
0.3125,1.7690968297157265e-06,1.0680349216816058e-07,5.305919281883842e-05
0.3515625,1.916675111671056e-06,1.1617512811680792e-07,5.724571330800732e-05
0.390625,2.0521981220094323e-06,1.2482467662189704e-07,6.104201674617116e-05
0.4296875,2.176634399333289e-06,1.3296922505925136e-07,6.448206425280212e-05
0.46875,2.290865105554129e-06,1.4058129676893508e-07,6.759656782950874e-05
0.5078125,2.3956929469603315e-06,1.4761012971197084e-07,7.041333787005666e-05
0.546875,2.4918500740464036e-06,1.5414776823424743e-07,7.295758933223428e-05
0.5859375,2.5800050897103803e-06,1.6024231946935684e-07,7.52522119922272e-05
0.625,2.660769277341112e-06,1.6585271407408962e-07,7.731800942456513e-05
0.6640625,2.7347021450727266e-06,1.7105077458675813e-07,7.917391069645063e-05
0.703125,2.8023163693345677e-06,1.7591043180915606e-07,8.083715820228488e-05
0.7421875,2.8640822099052635e-06,1.803665291428338e-07,8.232347460990219e-05
0.78125,2.920431459040616e-06,1.844598354631791e-07,8.364721146858489e-05
0.8203125,2.971760979136504e-06,1.8846943359241098e-07,8.482148170230186e-05
0.859375,3.0184358764630122e-06,1.9214606696072706e-07,8.585827790852374e-05
0.8984375,3.0607923524201052e-06,1.955027569649834e-07,8.676857814071681e-05
0.9375,3.099140268590886e-06,1.986763720162906e-07,8.756244062657625e-05
0.9765625,3.133765457469924e-06,2.015824142493858e-07,8.82490887019749e-05
1.015625,3.16493180671608e-06,2.0421775631344375e-07,8.88369870657435e-05
1.0546875,3.1928831415700804e-06,2.0666746109054974e-07,8.933391033694171e-05
1.09375,3.217844927026243e-06,2.0893774666522817e-07,8.97470047640514e-05
1.1328125,3.2400258089065242e-06,2.1097823201090964e-07,9.008284384326437e-05
1.171875,3.2596190106843584e-06,2.128154154943141e-07,9.034747850100722e-05
1.2109375,3.276803600999185e-06,2.1462563694980053e-07,9.054648242934338e-05
